session_id,label,distance,lighting,frames,no_pose,leg_ok,trunk_ok,plausible,usable,mean_leg_vis
lunge-20260924-185356,lunge,near,bright,605,0,580,605,605,580,0.864
lunge-20260924-185516,lunge,far,bright,668,0,620,655,668,620,0.885
lunge-20260924-185652,lunge,near,dim,602,0,578,602,602,578,0.871
lunge-20260924-191533,lunge,near,dim,569,0,540,563,568,540,0.881
lunge-20260924-194729,lunge,far,dim,543,0,511,529,543,511,0.909
other-20260924-191622,other,near,bright,531,0,504,531,531,504,0.938
other-20260924-191711,other,far,dim,639,0,611,639,639,611,0.948
other-20260924-191812,other,near,bright,583,0,550,575,583,550,0.888
other-20260924-191910,other,far,bright,621,0,592,621,621,592,0.936
other-20260924-194829,other,near,dim,588,0,573,587,574,559,0.947
squat-20260924-184559,squat,near,bright,703,0,663,672,703,663,0.915
squat-20260924-184726,squat,far,bright,584,0,541,545,584,541,0.903
squat-20260924-184917,squat,far,dim,597,0,559,567,596,559,0.906
squat-20260924-185024,squat,near,dim,638,0,587,597,638,587,0.893
squat-20260924-185134,squat,near,bright,583,0,555,583,583,555,0.927
squat-20260924-185226,squat,far,bright,563,0,534,563,563,534,0.923
